name,tax_class,rule_class,overridden,is_stealer,breach_date,pwn_count
000webhost,service,service,FALSE,FALSE,2015-03-01,14936670
123RF,service,service,FALSE,FALSE,2020-03-22,8661578
126,service,service,FALSE,FALSE,2012-01-01,6414191
17Media,service,service,FALSE,FALSE,2016-04-19,4009640
17173,service,service,FALSE,FALSE,2011-12-28,7485802
2844Breaches,service,service,FALSE,FALSE,2018-02-19,80115532
2fast4u,service,service,FALSE,FALSE,2017-12-20,17706
500px,service,service,FALSE,FALSE,2018-07-05,14867999
7k7k,service,service,FALSE,FALSE,2011-01-01,9121434
8fit,service,service,FALSE,FALSE,2018-07-01,15025407
8tracks,service,service,FALSE,FALSE,2017-06-27,17979961
9Lives,service,service,FALSE,FALSE,2014-10-01,109515
Abandonia,service,service,FALSE,FALSE,2015-11-01,776125
Abandonia2022,service,service,FALSE,FALSE,2022-11-15,919790
AbuseWithUs,service,service,FALSE,FALSE,2016-07-01,1372550
AcneOrg,service,service,FALSE,FALSE,2014-11-25,432943
Activision,service,service,FALSE,FALSE,2022-12-04,16006
ActMobile,service,service,FALSE,FALSE,2021-10-08,1583193
Acuity,combolist,combolist,FALSE,FALSE,2020-06-18,14055729
Adapt,aggregator,aggregator,FALSE,FALSE,2018-11-05,9363740
Adecco,service,service,FALSE,FALSE,2021-01-03,4284538
ABFRL,service,service,FALSE,FALSE,2021-12-01,5470063
Adobe,service,service,FALSE,FALSE,2013-10-04,152445165
AdultFriendFinder,service,service,FALSE,FALSE,2015-05-21,3867997
AdultFriendFinder2016,service,service,FALSE,FALSE,2016-10-16,169746810
AdultFanFiction,service,service,FALSE,FALSE,2018-05-30,186082
AdvanceAutoParts,service,service,FALSE,FALSE,2024-06-05,79243727
AerServ,service,service,FALSE,FALSE,2018-04-01,66308
AgusiQTorrents,service,service,FALSE,FALSE,2019-09-24,90478
AhaShare,service,service,FALSE,FALSE,2013-05-30,180468
AIType,aggregator,aggregator,FALSE,FALSE,2017-12-05,20580060
