BLOQUE,APELLIDO,NOMBRE,PROVINCIA,PARTIDO O ALIANZA POR EL QUE INGRESÓ,DESIGNACIÓN LEGAL,CESE LEGAL,DESIGNACIÓN REAL,CESE REAL,EMAIL,TELEFONO,FACEBOOK,TWITTER,INSTAGRAM,YOUTUBE
UNIÓN CÍVICA RADICAL,ABAD,MAXIMILIANO,BUENOS AIRES,JUNTOS POR EL CAMBIO,2023-12-10,2029-12-09,2023-12-10,Sin Datos,maximiliano.abad@senado.gob.ar,1045 / 1046,https://www.facebook.com/maxiabad?mibextid=9R9pXO,https://x.com/maxiabad?s=11,https://www.instagram.com/maxi.abad?igsh=MXc2YzF3YWduc3hneA==,
LA LIBERTAD AVANZA,ABDALA,BARTOLOMÉ ESTEBAN,SAN LUIS,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,bartolome.abdala@senado.gob.ar,1501,,,,
FRENTE PRO,ALVAREZ RIVERO,CARMEN,CÓRDOBA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,carmen.alvarez@senado.gob.ar,1393 / 1383,https://www.facebook.com/CarmenAlvarezRiveroOficial,https://twitter.com/CarmenAlvarezR,https://www.instagram.com/carmenalvarezrivero,
FRENTE NACIONAL Y POPULAR,ANDRADA,GUILLERMO EDUARDO,CATAMARCA,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,guillermo.andrada@senado.gob.ar,3567,,,,
FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,ARCE,CARLOS OMAR,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACIÓN FEDERAL,2023-12-10,2029-12-09,2023-12-10,Sin Datos,carlos.arce@senado.gob.ar,1359 / 1364,,,,
LA LIBERTAD AVANZA,ARRASCAETA,IVANNA MARCELA,SAN LUIS,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,ivanna.arrascaeta@senado.gob.ar,3235 / 3286 / 3288,,,,
LA LIBERTAD AVANZA,ATAUCHE,EZEQUIEL,JUJUY,PARTIDO RENOVADOR FEDERAL,2023-12-10,2029-12-09,2023-12-10,Sin Datos,ezequiel.atauche@senado.gob.ar,8083,https://www.facebook.com/Ezequiel.Atauche,https://twitter.com/ezeatauche,https://www.instagram.com/ezeatauche,https://www.youtube.com/@EzequielAtauche
POR LA JUSTICIA SOCIAL,AVILA,BEATRIZ LUISA,TUCUMÁN,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,beatriz.avila@senado.gob.ar,3508 / 3309 / 1086,http://www.facebook.com/beatrizavilaok,http://www.twitter.com/beatriz_avilaok,http://www.instagram.com/beatrizavilaok,http://www.beatrizavila.com.ar/
LA LIBERTAD AVANZA,BEDIA,VILMA FACUNDA,JUJUY,PARTIDO RENOVADOR FEDERAL,2023-12-10,2029-12-09,2023-12-10,Sin Datos,vilma.bedia@senado.gob.ar,3415,,,,
FRENTE NACIONAL Y POPULAR,BENSUSÁN,DANIEL PABLO,LA PAMPA,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,daniel.bensusan@senado.gob.ar,1305 / 1307 / 1310,https://www.facebook.com/dpbensusan,https://twitter.com/palibensusan?s=11,https://www.instagram.com/palibensusan/,https://youtube.com/channel/UCVGEIDtt26DtcpADWXGLkDg
UNIÓN CÍVICA RADICAL,BLANCO,PABLO DANIEL,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,pablo.blanco@senado.gob.ar,8702,https://www.facebook.com/pablodanielblancosenador,https://twitter.com/blancopabloda,https://www.instagram.com/blancopablodaniel,
POR SANTA CRUZ,CARAMBIA,JOSÉ MARÍA,SANTA CRUZ,ALIANZA POR SANTA CRUZ,2023-12-10,2029-12-09,2023-12-10,Sin Datos,jose.carambia@senado.gob.ar,3408,,,,
