NOME_PARLAMENTAR;PARTIDO;UF;TITULARIDADE;MANDATO;TELEFONES;DTNASC;EMAIL;CHEFE_GAB;ENDEREÇO
ALAN RICK;UNIÃO;AC;Titular;2023 / 2031;(61)3303-6333,;23/10/1976;sen.alanrick@senado.leg.br;Lia Noleto De Queiroz Rachid Gariff;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 05
ALESSANDRO VIEIRA;MDB;SE;Titular;2019 / 2027;(61)3303-9011,(61)3303-9014,;03/04/1975;sen.alessandrovieira@senado.leg.br;Elaine Da Silva Gontijo;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 08
ANA PAULA LOBATO;PDT;MA;1º Suplente;2023 / 2031;(61)3303-2967,;11/05/1984;sen.anapaulalobato@senado.leg.br;Antino Correa Noleto Junior;SENADO FEDERAL ANEXO 1  16º PAVIMENTO  
ANGELO CORONEL;PSD;BA;Titular;2019 / 2027;(61)3303-6103,(61)3303-6105,;03/05/1958;sen.angelocoronel@senado.leg.br;Natanael Alves Ferreira;SENADO FEDERAL ANEXO 1  7º PAVIMENTO  
ASTRONAUTA MARCOS PONTES;PL;SP;Titular;2023 / 2031;(61)3303-1177,(61)3303-1797,;11/03/1963;sen.astronautamarcospontes@senado.leg.br;Christiane Gonçalves Corrêa;SENADO FEDERAL ANEXO 2   ALA NILO COELHO PAVIMENTO TÉRREO GABINETE 08
AUGUSTA BRITO;PT;CE;1º Suplente;2023 / 2031;(61)3303-5940,;27/05/1976;sen.augustabrito@senado.leg.br;Fernando Neves De Freitas Banhos;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 14
BETO FARO;PT;PA;Titular;2023 / 2031;(61)3303-5220,;20/06/1969;sen.betofaro@senado.leg.br;Rogerio De Araujo Lima;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 08
CARLOS PORTINHO;PL;RJ;1º Suplente;2019 / 2027;(61)3303-6640,(61)3303-6613,;02/07/1973;sen.carlosportinho@senado.leg.br;Sérgio Teles Torres;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 19
CARLOS VIANA;PODEMOS;MG;Titular;2019 / 2027;(61)3303-3100,(61)3303-3116,;22/03/1963;sen.carlosviana@senado.leg.br;Renata Pereira Faria Rosa;SENADO FEDERAL ANEXO 1  10º PAVIMENTO  
CHICO RODRIGUES;PSB;RR;Titular;2019 / 2027;(61)3303-2281,;23/04/1951;sen.chicorodrigues@senado.leg.br;Ajax Porto Pinheiro;SENADO FEDERAL ANEXO 1  PAVIMENTO TÉRREO  
CID GOMES;PSB;CE;Titular;2019 / 2027;(61)3303-6460,(61)3303-6399,;27/04/1963;sen.cidgomes@senado.leg.br;Gildete Leite De Melo;SENADO FEDERAL EDIFÍCIO PRINCIPAL   ALA DINARTE MARIZ GABINETE 04
CIRO NOGUEIRA;PP;PI;Titular;2019 / 2027;(61)3303-6187,(61)3303-6188,;21/11/1968;sen.cironogueira@senado.leg.br;Myrian Violeta Cavalhero;SENADO FEDERAL ANEXO 1  3º PAVIMENTO  
CLEITINHO;REPUBLICANOS;MG;Titular;2023 / 2031;(61)3303-3811,;15/04/1982;sen.cleitinho@senado.leg.br;Rafael Antonio Da Silva;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 17
CONFUCIO MOURA;MDB;RO;Titular;2019 / 2027;(61)3303-2470,(61)3303-2163,;16/05/1948;sen.confuciomoura@senado.leg.br;Rogerio Caroca Cavalcante;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 56
DAMARES ALVES;REPUBLICANOS;DF;Titular;2023 / 2031;(61)3303-3265,;11/03/1964;sen.damaresalves@senado.leg.br;Viviane Petinelli E Silva;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 04
DANIELLA RIBEIRO;PSD;PB;Titular;2019 / 2027;(61)3303-6788,(61)3303-6790,;26/03/1972;sen.daniellaribeiro@senado.leg.br;Maria Eduarda Souto De Aquino;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 13
DAVI ALCOLUMBRE;UNIÃO;AP;Titular;2023 / 2031;(61)3303-6717,(61)3303-6720,;19/06/1977;sen.davialcolumbre@senado.leg.br;Ana Paula De Magalhães Albuquerque Lima;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 10
DR. HIRAN;PP;RR;Titular;2023 / 2031;(61)3303-6251,;19/06/1957;sen.drhiran@senado.leg.br;Adriano Do Almo Mesquita;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 06
DRA. EUDOCIA;PL;AL;1º Suplente;2019 / 2027;(61)3303-6083,;28/08/1964;sen.draeudocia@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 07
