cc3,country,fe_breach_serious,fe_breach
AUS,Australia,0.891,0.941
GBR,UK,0.798,0.83
JEY,Jersey,0.788,0.879
HKG,Hong-Kong,0.633,0.659
DNK,Denmark,0.457,0.687
FIN,Finland,0.427,0.695
NOR,Norway,0.42,0.722
NLD,Netherlands,0.406,0.737
NZL,New-Zealand,0.391,0.599
ZAF,South-Africa,0.385,0.519
IND,India,0.356,0.652
URY,Uruguay,0.339,0.355
SGP,Singapore,0.334,0.499
LUX,Luxembourg,0.333,0.407
NIC,Nicaragua,0.33,0.313
PYF,French-Polynesia,0.33,0.321
KEN,Kenya,0.302,0.581
SYC,Seychelles,0.294,0.284
UGA,Uganda,0.294,0.316
CAN,Canada,0.293,0.865
MLT,Malta,0.291,0.612
BRA,Brazil,0.289,0.716
ARG,Argentina,0.279,0.483
BEL,Belgium,0.278,0.43
NGA,Nigeria,0.264,0.377
BTN,Bhutan,0.263,0.254
GGY,Guernsey,0.261,0.274
GRC,Greece,0.26,0.491
ZWE,Zimbabwe,0.244,0.212
EST,Estonia,0.244,0.324
HUN,Hungary,0.241,0.319
ITA,Italy,0.232,0.354
CYP,Cyprus,0.208,0.503
BIH,Bosnia-and-Herzegovina,0.202,0.217
MDA,Moldova,0.2,0.214
SUR,Suriname,0.198,0.188
COL,Colombia,0.196,0.193
AND,Andorra,0.193,0.182
BMU,Bermuda,0.185,0.206
NAM,Namibia,0.183,0.174
GRL,Greenland,0.181,0.172
GTM,Guatemala,0.169,0.166
GEO,Georgia,0.168,0.256
BGR,Bulgaria,0.163,0.207
ARM,Armenia,0.163,0.297
ZMB,Zambia,0.154,0.161
RWA,Rwanda,0.154,0.145
MKD,Macedonia,0.154,0.145
CMR,Cameroon,0.154,0.145
LKA,Sri-Lanka,0.154,0.145
ROU,Romania,0.149,0.159
BLR,Belarus,0.146,0.136
TZA,Tanzania,0.134,0.126
SVK,Slovakia,0.13,0.19
NPL,Nepal,0.129,0.132
ALB,Albania,0.127,0.12
PNG,Papua-New-Guinea,0.107,0.115
KOR,South-Korea,0.074,0.084
IRN,Iran,0.025,0.045
