cc3,country,fe_breach_serious,fe_breach,gdppc,egdi,vdem,gci,english,log_gdppc
AUS,Australia,0.891,0.941,58224.4860340825,0.9024240000000001,0.8667272727272728,97.47,1.0,10.97206126747584
GBR,UK,0.798,0.83,42839.088769323935,0.904098,0.8634545454545454,99.54,1.0,10.665206253778132
JEY,Jersey,0.788,0.879,,,,,,
HKG,Hong-Kong,0.633,0.659,41679.56001812791,,0.3350909090909091,,1.0,10.637766120184581
DNK,Denmark,0.457,0.687,59007.91949930373,0.8893740000000001,0.9191818181818182,92.6,0.0,10.985426942681736
FIN,Finland,0.427,0.695,47620.074128040345,0.880762,0.8807272727272728,95.78,0.0,10.771009676697357
NOR,Norway,0.42,0.722,88192.47255620753,0.853762,0.8948181818181818,96.89,0.0,11.387276893185062
NLD,Netherlands,0.406,0.737,51421.353665049304,0.8933019999999999,0.8744545454545455,97.05,0.0,10.847808806125823
NZL,New-Zealand,0.391,0.599,40872.23794100376,0.87645,0.8863636363636364,84.04,1.0,10.618206332607599
ZAF,South-Africa,0.385,0.519,6935.927120905966,0.575856,0.754090909090909,78.46,1.0,8.844470011038677
IND,India,0.356,0.652,1669.5789157034328,0.47867,0.5568181818181818,97.49,1.0,7.420326727331212
URY,Uruguay,0.339,0.355,17030.376264504273,0.746586,0.8998181818181817,75.15,0.0,9.742753867629
SGP,Singapore,0.334,0.499,58215.24758943456,0.8868079999999999,0.4108181818181818,98.52,1.0,10.97190258547993
LUX,Luxembourg,0.333,0.407,114110.22993267827,0.798304,0.873,97.41,0.0,11.644920189435707
NIC,Nicaragua,0.33,0.313,1918.7070828441538,0.39106,0.31136363636363634,9.0,0.0,7.55940684383801
PYF,French-Polynesia,0.33,0.321,21231.435768325693,,,,0.0,9.963238181629848
KEN,Kenya,0.302,0.581,1523.7835648025582,0.441392,0.4934545454545454,81.7,1.0,7.328951708315012
SYC,Seychelles,0.294,0.284,15126.83752913949,0.5713619999999999,0.5467272727272727,13.23,1.0,9.62422576504967
UGA,Uganda,0.294,0.316,819.0567385352292,0.358624,0.2999090909090909,69.98,1.0,6.708153359274265
CAN,Canada,0.293,0.865,47592.89912495946,0.836206,0.827,97.67,1.0,10.77043885104429
MLT,Malta,0.291,0.612,27374.147063288874,0.752624,0.7838181818181819,83.65,1.0,10.217354309127968
BRA,Brazil,0.289,0.716,10483.017649528641,0.6711280000000001,0.8107272727272726,96.6,0.0,9.257511860084527
ARG,Argentina,0.279,0.483,12024.310542414598,0.7025159999999999,0.7663636363636364,50.12,0.0,9.39468575798009
