country,legislature,term,leg_start_year,row_count,n_unique_emails,person_count_legistype,ltype,url,cc,leg_start_date,lastmod,cc3,pop2024,lastmod_year
India,Lok Sabha,16th Lok Sabha,2014,541,511,541,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/72ee38f4b3fc31cb9071b19b2c67aab2c255586c/data/India/Lok_Sabha/term-16.csv,IN,2014-05-26,1557812040,IND,1441719852.0,2019
China,National People’s Congress,12th National People’s Congress,2013,2987,0,2956,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/99d840652c45b5cd45f45abcc14cf582b47de828/data/China/Congress/term-12.csv,CN,2013-03-05,1554305411,CHN,1410132224.0,2019
United-States-of-America,House of Representatives,113th Congress,2013,449,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-113.csv,US,2013-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,114th Congress,2015,447,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-114.csv,US,2015-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,108th Congress,2003,444,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-108.csv,US,2003-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,107th Congress,2001,447,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-107.csv,US,2001-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,106th Congress,1999,442,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-106.csv,US,1999-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,104th Congress,1995,444,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-104.csv,US,1995-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,105th Congress,1997,449,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-105.csv,US,1997-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,101st Congress,1989,448,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-101.csv,US,1989-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,109th Congress,2005,444,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-109.csv,US,2005-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,110th Congress,2007,452,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-110.csv,US,2007-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,111th Congress,2009,449,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-111.csv,US,2009-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,100th Congress,1987,448,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-100.csv,US,1987-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,102nd Congress,1991,448,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-102.csv,US,1991-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,103rd Congress,1993,447,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-103.csv,US,1993-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,Senate,115th Congress,2017,105,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-115.csv,US,2017-01-03,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,107th Congress,2001,103,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-107.csv,US,2001-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,108th Congress,2003,100,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-108.csv,US,2003-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,105th Congress,1997,100,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-105.csv,US,1997-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,106th Congress,1999,102,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-106.csv,US,1999-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,99th Congress,1985,102,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-99.csv,US,1985-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,102nd Congress,1991,105,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-102.csv,US,1991-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,97th Congress,1981,102,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-97.csv,US,1981-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,98th Congress,1983,100,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-98.csv,US,1983-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,100th Congress,1987,101,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-100.csv,US,1987-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,101st Congress,1989,103,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-101.csv,US,1989-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,112th Congress,2011,102,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-112.csv,US,2011-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,111th Congress,2009,110,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-111.csv,US,2009-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,110th Congress,2007,102,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-110.csv,US,2007-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,109th Congress,2005,101,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-109.csv,US,2005-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,103rd Congress,1993,104,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-103.csv,US,1993-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,104th Congress,1995,103,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-104.csv,US,1995-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,House of Representatives,115th Congress,2017,456,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-115.csv,US,2017-01-03,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,116th Congress,2019,440,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-116.csv,US,2019-01-03,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,112th Congress,2011,450,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-112.csv,US,2011-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,99th Congress,1985,444,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-99.csv,US,1985-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,98th Congress,1983,445,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/35c09ba19b40bfd272953719e0b22126d76c589e/data/United_States_of_America/House/term-98.csv,US,1983-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,House of Representatives,97th Congress,1981,448,0,1739,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/dc2f094df3aec67b9349823f905892e75a8fbb7a/data/United_States_of_America/House/term-97.csv,US,1981-01-06,1557715874,USA,336610656.0,2019
United-States-of-America,Senate,116th Congress,2019,100,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/337ba1cf6d7fcb57e47c20d08c247cb4592173d0/data/United_States_of_America/Senate/term-116.csv,US,2019-01-03,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,113th Congress,2013,105,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-113.csv,US,2013-01-06,1557389224,USA,336610656.0,2019
United-States-of-America,Senate,114th Congress,2015,100,0,330,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/3480a7c39db5e0f243d86748714717338db48ccd/data/United_States_of_America/Senate/term-114.csv,US,2015-01-06,1557389224,USA,336610656.0,2019
Indonesia,Dewan Perwakilan Rakyat,2014–2019 Council,2014,662,0,662,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/2e17040b84931e374dc53440ef6897fde78a22c4/data/Indonesia/Council/term-18.csv,ID,2014-10-01,1556003671,IDN,279798049.0,2019
Pakistan,National Assembly,14th National Assembly,2013,353,0,352,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/302310c2c33358f4bc03bbbd7199be4d9ec81265/data/Pakistan/Assembly/term-14.csv,PK,2013-06-01,1556192451,PAK,245209815.0,2019
