cc3,gci_2020
AUS,97.47
GBR,99.54
JEY,
HKG,
DNK,92.6
FIN,95.78
NOR,96.89
NLD,97.05
NZL,84.04
ZAF,78.46
IND,97.49
URY,75.15
SGP,98.52
LUX,97.41
NIC,9.0
PYF,
KEN,81.7
SYC,13.23
UGA,69.98
CAN,97.67
MLT,83.65
BRA,96.6
ARG,50.12
BEL,96.25
NGA,84.76
BTN,18.34
GGY,
GRC,93.98
ZWE,36.49
EST,99.48
HUN,91.28
ITA,96.13
CYP,88.82
BIH,29.44
MDA,75.78
SUR,31.2
COL,63.72
AND,26.38
BMU,
NAM,11.47
GRL,
GTM,13.13
GEO,81.07
BGR,67.38
ARM,50.47
ZMB,68.88
RWA,79.95
MKD,89.92
CMR,45.63
LKA,58.65
ROU,76.29
BLR,50.57
TZA,90.58
SVK,92.36
NPL,44.99
ALB,64.32
PNG,26.33
KOR,98.52
IRN,81.06
