party,name,region,contact
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Αβραμόπουλος Λάμπρου Δημήτριος,ΗΛΕΙΑΣ,"avramopoulos@otenet.gr
http://www.avramopoulos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Αγαπηδάκη Στυλιανού Ειρήνη,ΕΠΙΚΡΑΤΕΙΑΣ,
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Αθανασίου Ευαγγέλου Μαρία,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,m.athanasiou@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Αθανασίου Χριστόφα Χαράλαμπος,ΛΕΣΒΟΥ,"xathanasiou2@gmail.com
http://www.athanasiou.info/"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Ακρίτα Λουκή Έλενα,ΕΠΙΚΡΑΤΕΙΑΣ,"e.akrita@parliament.gr
eakrita.office@gmail.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ακτύπης Δημητρίου Διονύσιος,ΖΑΚΥΝΘΟΥ,d.aktypis@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Αλεξοπούλου Μιχαήλ Χριστίνα,ΑΧΑΪΑΣ,"ch.alexopoulou@parliament.gr
www.xalexopoulou.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Αμπατιέλος Γερασίμου Νικόλαος,Α' ΠΕΙΡΑΙΩΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Αμυράς Στυλιανού Γεώργιος,ΙΩΑΝΝΙΝΩΝ,amiras@parliament.gr
ΝΕΑ ΑΡΙΣΤΕΡΑ,Αναγνωστοπούλου Πέτρου Αθανασία (Σία),ΑΧΑΪΑΣ,"sia.anag@gmail.com
aanagnostopoulou@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ανδριανός Σωτηρίου Ιωάννης,ΑΡΓΟΛΙΔΟΣ,"nafplio@andrianos.eu
jandrianos@parliament.gr
argos@andrianos.eu"
