Country Name,cc3,Series Name,Series Code,2024 [YR2024],region,EU,politician,civil_servants
Bermuda,BMU,"Population, total",SP.POP.TOTL,..,,,,
Greenland,GRL,"Population, total",SP.POP.TOTL,..,,,,
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,..,,,,
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,..,,,,
India,IND,"Population, total",SP.POP.TOTL,1441719852,,,https://github.com/themains/pwned_pols/blob/main/scripts/01_get_pwned_ls_pols.ipynb,
China,CHN,"Population, total",SP.POP.TOTL,1410132224,,,,
United States,USA,"Population, total",SP.POP.TOTL,336610656,,,"https://electionemails2020.org/, https://politicalemails.org/",
Indonesia,IDN,"Population, total",SP.POP.TOTL,279798049,,,-,
Pakistan,PAK,"Population, total",SP.POP.TOTL,245209815,,,,
Nigeria,NGA,"Population, total",SP.POP.TOTL,229152217,,,,
Brazil,BRA,"Population, total",SP.POP.TOTL,217637297,,,-,
Bangladesh,BGD,"Population, total",SP.POP.TOTL,174701211,,,,
Russian Federation,RUS,"Population, total",SP.POP.TOTL,143376832,,,-,
Ethiopia,ETH,"Population, total",SP.POP.TOTL,129719719,,,,
Mexico,MEX,"Population, total",SP.POP.TOTL,129388467,,,-,
Japan,JPN,"Population, total",SP.POP.TOTL,123763600,,,-,
Philippines,PHL,"Population, total",SP.POP.TOTL,119106224,,,,
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,114484252,,,,
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,105625114,,,,
Viet Nam,VNM,"Population, total",SP.POP.TOTL,99497680,,,,
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,89809781,,,,
Turkiye,TUR,"Population, total",SP.POP.TOTL,85756376,,,,
Germany,DEU,"Population, total",SP.POP.TOTL,84378888,,1,https://github.com/everypolitician/everypolitician-data/tree/master/data/Germany/Bundestag,
Thailand,THA,"Population, total",SP.POP.TOTL,71885799,,,,
Tanzania,TZA,"Population, total",SP.POP.TOTL,69419073,,,,
United Kingdom,GBR,"Population, total",SP.POP.TOTL,68556800,,,https://github.com/everypolitician/everypolitician-data/blob/master/data/UK/Commons/term-57.csv,
France,FRA,"Population, total",SP.POP.TOTL,68288544,,1,-,
South Africa,ZAF,"Population, total",SP.POP.TOTL,61020221,,,,
Italy,ITA,"Population, total",SP.POP.TOTL,58561164,,1,,
Kenya,KEN,"Population, total",SP.POP.TOTL,56203030,,,,
Myanmar,MMR,"Population, total",SP.POP.TOTL,54964694,,,,
Colombia,COL,"Population, total",SP.POP.TOTL,52340774,,,,
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51630832,,,,
Uganda,UGA,"Population, total",SP.POP.TOTL,49924252,,,,
Sudan,SDN,"Population, total",SP.POP.TOTL,49358228,,,,
Spain,ESP,"Population, total",SP.POP.TOTL,48318580,,1,,
Argentina,ARG,"Population, total",SP.POP.TOTL,46936024,,,,
Iraq,IRQ,"Population, total",SP.POP.TOTL,46523657,,,,
Algeria,DZA,"Population, total",SP.POP.TOTL,46278751,,,,
Afghanistan,AFG,"Population, total",SP.POP.TOTL,43372950,,,,
Canada,CAN,"Population, total",SP.POP.TOTL,40409176,,,https://github.com/everypolitician/everypolitician-data/tree/master/data/Canada,
Morocco,MAR,"Population, total",SP.POP.TOTL,38211459,,,,
Ukraine,UKR,"Population, total",SP.POP.TOTL,38013272,,,,
Angola,AGO,"Population, total",SP.POP.TOTL,37804634,,,,
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,37473929,,,,
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,36936168,,,,
Poland,POL,"Population, total",SP.POP.TOTL,35992900,,1,,
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,35219853,,,,
Mozambique,MOZ,"Population, total",SP.POP.TOTL,34858402,,,,
Ghana,GHA,"Population, total",SP.POP.TOTL,34777522,,,,
Peru,PER,"Population, total",SP.POP.TOTL,34683444,,,,
Malaysia,MYS,"Population, total",SP.POP.TOTL,34671895,,,,
Nepal,NPL,"Population, total",SP.POP.TOTL,31240315,,,,
Madagascar,MDG,"Population, total",SP.POP.TOTL,31056610,,,,
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,29603302,,,,
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,29395334,,,,
Cameroon,CMR,"Population, total",SP.POP.TOTL,29394433,,,,
Niger,NER,"Population, total",SP.POP.TOTL,28238972,,,,
Australia,AUS,"Population, total",SP.POP.TOTL,26889126,,1,https://github.com/everypolitician/everypolitician-data/blob/master/data/Australia,
