ccodealp,year,egov_egov
AFG,2002,0.11752
AFG,2003,0.13367
AFG,2004,0.14898
AFG,2007,0.2048
AFG,2009,0.20976
AFG,2011,0.17014
AFG,2013,0.19003
AFG,2015,0.23132
AFG,2017,0.2585
AFG,2019,0.3203
AFG,2021,0.271
AFG,2023,0.20827
ALB,2002,0.31079
ALB,2003,0.33998
ALB,2004,0.37316
ALB,2007,0.467
ALB,2009,0.45192
ALB,2011,0.51606
ALB,2013,0.50455
ALB,2015,0.53305
ALB,2017,0.6519
ALB,2019,0.7399
ALB,2021,0.7413
ALB,2023,0.8
DZA,2002,0.36993
DZA,2003,0.32476
DZA,2004,0.32423
DZA,2007,0.3515
DZA,2009,0.3181
DZA,2011,0.36077
DZA,2013,0.31064
DZA,2015,0.29991
DZA,2017,0.4227
DZA,2019,0.5173
DZA,2021,0.5611
DZA,2023,0.59556
AND,2002,0.17416
AND,2003,0.15633
AND,2004,0.18363
AND,2007,0.5175
AND,2009,0.51478
AND,2011,0.61718
AND,2013,0.6426
AND,2015,0.63016
AND,2017,0.6857
AND,2019,0.6881
AND,2021,0.7177
AND,2023,0.68931
AGO,2002,0.19222
AGO,2003,0.1998
AGO,2004,0.184
AGO,2007,0.3328
AGO,2009,0.31098
AGO,2011,0.32028
AGO,2013,0.29703
AGO,2015,0.33114
AGO,2017,0.3376
AGO,2019,0.3847
AGO,2021,0.3789
AGO,2023,0.41487
ATG,2002,0.36443
ATG,2003,0.36565
ATG,2004,0.40102
ATG,2007,0.4485
ATG,2009,0.51536
ATG,2011,0.63447
ATG,2013,0.59266
ATG,2015,0.48922
ATG,2017,0.5906
ATG,2019,0.6055
ATG,2021,0.6113
ATG,2023,0.64282
AZE,2002,0.36351
AZE,2003,0.38607
AZE,2004,0.37733
AZE,2007,0.4609
AZE,2009,0.45706
AZE,2011,0.49838
AZE,2013,0.5472
AZE,2015,0.62741
AZE,2017,0.6574
AZE,2019,0.71
AZE,2021,0.6937
AZE,2023,0.76073
ARG,2002,0.57704
ARG,2003,0.58712
ARG,2004,0.59713
ARG,2007,0.5844
ARG,2009,0.54668
ARG,2011,0.62279
ARG,2013,0.63059
ARG,2015,0.6978
ARG,2017,0.7335
ARG,2019,0.8279
ARG,2021,0.8198
ARG,2023,0.85733
AUS,2002,0.83106
AUS,2003,0.83766
AUS,2004,0.86786
AUS,2007,0.8108
AUS,2009,0.78627
AUS,2011,0.839
AUS,2013,0.91034
AUS,2015,0.91428
AUS,2017,0.9053
AUS,2019,0.9432
AUS,2021,0.9405
AUS,2023,0.9577
AUT,2002,0.6756
AUT,2003,0.74873
AUT,2004,0.76023
AUT,2007,0.7428
AUT,2009,0.66793
AUT,2011,0.78395
AUT,2013,0.79124
AUT,2015,0.82081
AUT,2017,0.8301
AUT,2019,0.8914
AUT,2021,0.8801
AUT,2023,0.90653
BHS,2002,0.42893
BHS,2003,0.46489
BHS,2004,0.46756
BHS,2007,0.4911
BHS,2009,0.48706
BHS,2011,0.57932
BHS,2013,0.49
BHS,2015,0.51084
BHS,2017,0.6552
BHS,2019,0.7017
BHS,2021,0.7277
BHS,2023,0.71434
BHR,2002,0.50974
BHR,2003,0.53234
BHR,2004,0.52815
BHR,2007,0.5723
BHR,2009,0.73625
BHR,2011,0.69461
BHR,2013,0.80885
BHR,2015,0.77335
BHR,2017,0.8116
BHR,2019,0.8213
BHR,2021,0.7707
BHR,2023,0.91958
BGD,2002,0.16537
BGD,2003,0.17875
BGD,2004,0.17618
BGD,2007,0.2936
BGD,2009,0.30278
BGD,2011,0.29913
BGD,2013,0.27572
BGD,2015,0.37995
BGD,2017,0.4862
BGD,2019,0.5189
BGD,2021,0.563
BGD,2023,0.65696
ARM,2002,0.37673
ARM,2003,0.39188
ARM,2004,0.36248
ARM,2007,0.4182
ARM,2009,0.40247
ARM,2011,0.49967
ARM,2013,0.58969
ARM,2015,0.51785
ARM,2017,0.5944
ARM,2019,0.7136
ARM,2021,0.7364
ARM,2023,0.84217
BRB,2002,0.41283
BRB,2003,0.45626
BRB,2004,0.49202
BRB,2007,0.5667
BRB,2009,0.57144
BRB,2011,0.65655
BRB,2013,0.5933
BRB,2015,0.631
BRB,2017,0.7229
BRB,2019,0.7279
BRB,2021,0.7117
BRB,2023,0.6815
BEL,2002,0.67008
BEL,2003,0.75247
BEL,2004,0.73806
BEL,2007,0.6779
BEL,2009,0.72246
BEL,2011,0.77181
BEL,2013,0.75638
BEL,2015,0.7874
BEL,2017,0.808
BEL,2019,0.8047
BEL,2021,0.8269
BEL,2023,0.81212
BTN,2002,0.1568
BTN,2003,0.15896
BTN,2004,0.29405
BTN,2007,0.3074
BTN,2009,0.25983
BTN,2011,0.29418
BTN,2013,0.28285
BTN,2015,0.35065
BTN,2017,0.4274
BTN,2019,0.5777
BTN,2021,0.5521
BTN,2023,0.6511
BOL,2002,0.41076
BOL,2003,0.38634
BOL,2004,0.40174
BOL,2007,0.4867
BOL,2009,0.42797
BOL,2011,0.46584
BOL,2013,0.45617
BOL,2015,0.48212
BOL,2017,0.5307
BOL,2019,0.6129
BOL,2021,0.6165
BOL,2023,0.66508
BIH,2002,0.309
BIH,2003,0.37898
BIH,2004,0.40189
BIH,2007,0.4509
BIH,2009,0.46978
BIH,2011,0.53279
BIH,2013,0.47069
BIH,2015,0.51183
BIH,2017,0.5303
BIH,2019,0.6372
BIH,2021,0.6256
BIH,2023,0.63293
BWA,2002,0.34664
BWA,2003,0.38271
BWA,2004,0.39775
BWA,2007,0.3647
BWA,2009,0.36373
BWA,2011,0.41863
BWA,2013,0.41984
BWA,2015,0.45315
BWA,2017,0.4253
BWA,2019,0.5383
BWA,2021,0.5495
BWA,2023,0.61178
BRA,2002,0.52673
BRA,2003,0.56746
BRA,2004,0.59811
BRA,2007,0.5679
BRA,2009,0.50058
BRA,2011,0.61673
BRA,2013,0.60082
BRA,2015,0.63769
BRA,2017,0.7327
BRA,2019,0.7677
BRA,2021,0.791
BRA,2023,0.84026
BLZ,2002,0.42213
BLZ,2003,0.41495
BLZ,2004,0.38152
BLZ,2007,0.4102
BLZ,2009,0.35127
BLZ,2011,0.39232
BLZ,2013,0.37738
BLZ,2015,0.38253
BLZ,2017,0.4115
BLZ,2019,0.4548
BLZ,2021,0.5005
BLZ,2023,0.48719
SLB,2002,0.28363
SLB,2003,0.26996
SLB,2004,0.26685
SLB,2007,0.2748
SLB,2009,0.24454
SLB,2011,0.24162
SLB,2013,0.20871
SLB,2015,0.24062
SLB,2017,0.2816
SLB,2019,0.3442
SLB,2021,0.353
