id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/b5e2b0b8-ae2a-4852-9c40-c9bf4a32fe1a,Aaron Freeman,Republican,32,upper,Aaron,Freeman,Male,s32@iga.in.gov,,,,https://cdn.zephyrcms.com/a664e2a6-fb83-4186-82cc-d4e33ff0591f/-/progressive/yes/-/format/jpeg/-/scale_crop/200x300/center/-/stretch/off/2021-freeman-2.jpg,https://iga.in.gov/legislative/2021/legislators/legislator_aaron_freeman_1;https://iga.in.gov/legislative/2022/legislators/legislator_aaron_freeman_1/;https://www.indianasenaterepublicans.com/freeman,https://api.iga.in.gov/2021/legislators/aaron_freeman_1;https://ballotpedia.org/Aaron_Freeman;https://en.wikipedia.org/wiki/Aaron_Freeman_(Indiana_politician);https://iga.in.gov/legislative/2021/legislators/legislator_aaron_freeman_1;https://iga.in.gov/legislative/2022/legislators/legislator_aaron_freeman_1;https://justfacts.votesmart.org/candidate/biography/130728/aaron-freeman;https://www.aaronfreemanlaw.com;https://www.aaronfreemanlaw.com/attorney-profile.html;https://www.indianasenaterepublicans.com/freeman;https://www.indianasenaterepublicans.com/senators,,,,,,,,,,,
ocd-person/3564d02c-d1d7-4c46-87b7-dbc1c5f1dc14,Alaina Shonkwiler,Republican,29,lower,Alaina,Shonkwiler,Female,h29@iga.in.gov,,,,https://storage.googleapis.com/enview-dev-public-general/legislative-people-photos/157746.jpg,https://iga.in.gov/legislative/2026/legislators/legislator_alaina_shonkwiler_1;https://www.indianahouserepublicans.com/members/general/alaina-shonkwiler/,https://ballotpedia.org/Alaina_Shonkwiler;https://en.wikipedia.org/wiki/Alaina_Shonkwiler;https://iga.in.gov/legislative/2026/legislators/legislator_alaina_shonkwiler_1;https://justfacts.votesmart.org/candidate/biography/214718/alaina-shonkwiler;https://www.indianahouserepublicans.com/members/general/alaina-shonkwiler;https://www.linkedin.com/in/alainashonkwiler,,,,,,,,,,,
ocd-person/ea9905ae-ca94-4184-853c-d7d622dd46ee,Alex Burton,Democratic,77,lower,Alex,Burton,Male,h77@iga.in.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AlexBurton2024.jpeg,https://iga.in.gov/legislative/2026/legislators/legislator_alex_burton_1;https://indianahousedemocrats.org/members/alex-burton,https://ballotpedia.org/Alex_Burton;https://en.wikipedia.org/wiki/Alex_Burton_(politician);https://iga.in.gov/legislative/2026/legislators/legislator_alex_burton_1;https://indianahousedemocrats.org/members/alex-burton;https://justfacts.votesmart.org/candidate/biography/198634/alex-burton;https://www.linkedin.com/in/alexander-burton-63550661,,,,,,,,,,,
ocd-person/7daef9db-7675-4d8e-8e78-b943a24fd5b7,Alex Zimmerman,Republican,67,lower,Alex,Zimmerman,Male,h67@iga.in.gov,,,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Zimmerman_Edited_Headshot.jpg,https://iga.in.gov/legislative/2024/legislators/legislator_alex_zimmerman_1;https://iga.in.gov/legislative/2026/legislators/legislator_alex_zimmerman_1;https://www.indianahouserepublicans.com/members/general/alex-zimmerman;https://www.indianahouserepublicans.com/members/general/alex-zimmerman/?back=members,https://ballotpedia.org/Alex_Zimmerman;https://en.wikipedia.org/wiki/Alex_Zimmerman;https://iga.in.gov/legislative/2024/legislators/legislator_alex_zimmerman_1;https://iga.in.gov/legislative/2026/legislators/legislator_alex_zimmerman_1;https://justfacts.votesmart.org/candidate/biography/212373/alex-zimmerman;https://www.alexzimmermanlaw.com;https://www.alexzimmermanlaw.com/about;https://www.indianahouserepublicans.com/members;https://www.indianahouserepublicans.com/members/;https://www.indianahouserepublicans.com/members/general/alex-zimmerman;https://www.indianahouserepublicans.com/members/general/alex-zimmerman/?back=members;https://www.linkedin.com/in/alexzimmerman93,,,,,,,,,,,
ocd-person/f22b3c5a-950d-4e0c-83c8-bf9a7c005c73,Andrea Hunley,Democratic,46,upper,Andrea,Hunley,Female,s46@iga.in.gov,,,,https://indianasenatedemocrats.org/wp-content/uploads/2022/12/Senator-Hunley_Hoosier-Profile-Pic-600x900-2.jpg,https://indianasenatedemocrats.org/senators/s46/;https://indianasenatedemocrats.orghttps://www.indianasenatedemocrats.org/s46,https://ballotpedia.org/Andrea_Hunley;https://en.wikipedia.org/wiki/Andrea_Hunley;https://indianasenatedemocrats.org/senators/s46;https://indianasenatedemocrats.org/senators/s46/;https://justfacts.votesmart.org/candidate/evaluations/202027/andrea-hunley;https://www.indianasenatedemocrats.org/s46;https://www.indianasenatedemocrats.org/senators;https://www.indianasenatedemocrats.org/senators/;https://www.linkedin.com/in/andrea-hunley-52a4b610a,,,,,,,,,,,
ocd-person/27343a14-0487-4a7a-8ddd-1e0991c4a694,Andrew Ireland,Republican,90,lower,Andrew,Ireland,Male,h90@iga.in.gov,,,,https://storage.googleapis.com/enview-dev-public-general/legislative-people-photos/157749.jpg,https://iga.in.gov/legislative/2026/legislators/legislator_andrew_ireland_1;https://www.indianahouserepublicans.com/members/general/andrew-ireland/,https://ballotpedia.org/Andrew_Ireland;https://en.wikipedia.org/wiki/Andrew_Ireland_(politician);https://iga.in.gov/legislative/2026/legislators/legislator_andrew_ireland_1;https://justfacts.votesmart.org/candidate/214775/andrew-ireland;https://scopelitis.com/attorneys/andrew-j-ireland;https://www.indianahouserepublicans.com/members/general/andrew-ireland;https://www.linkedin.com/in/andrewirelandin,,,,,,,,,,,
ocd-person/a8ed53f7-00fb-428b-a629-7532efaf902d,Beau Baird,Republican,44,lower,Beau,Baird,Male,h44@iga.in.gov,,1981-05-22,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Main_List/Baird_Main_List.jpg,https://iga.in.gov/legislative/2019/legislators/legislator_beau_baird_1/;https://iga.in.gov/legislative/2021/legislators/legislator_beau_baird_1;https://iga.in.gov/legislative/2024/legislators/legislator_beau_baird_1/;https://iga.in.gov/legislative/2026/legislators/legislator_beau_baird_1/;https://www.indianahouserepublicans.com/members/general/beau-baird/;https://www.indianahouserepublicans.com/members/general/beau-baird/?back=members,https://api.iga.in.gov/2021/legislators/beau_baird_1;https://ballotpedia.org/Beau_Baird;https://en.wikipedia.org/wiki/Beau_Baird;https://iga.in.gov/legislative/2021/legislators/legislator_beau_baird_1;https://iga.in.gov/legislative/2024/legislators/legislator_beau_baird_1;https://iga.in.gov/legislative/2026/legislators/legislator_beau_baird_1;https://justfacts.votesmart.org/candidate/biography/178174/beau-baird;https://www.indianahouserepublicans.com/members;https://www.indianahouserepublicans.com/members/;https://www.indianahouserepublicans.com/members/general/beau-baird;https://www.indianahouserepublicans.com/members/general/beau-baird/;https://www.indianahouserepublicans.com/members/general/beau-baird/?back=members;https://www.linkedin.com/in/jasonbeaubaird,,,,,,,,,,,
ocd-person/172ba652-d80a-45cd-a387-f072925561f7,Becky Cash,Republican,25,lower,Becky,Cash,Female,h25@iga.in.gov,,,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Main_List/Cash_Main_list.jpg,https://iga.in.gov/legislative/2024/legislators/legislator_becky_cash_1;https://iga.in.gov/legislative/2026/legislators/legislator_becky_cash_1;https://www.indianahouserepublicans.com/members/general/becky-cash;https://www.indianahouserepublicans.com/members/general/becky-cash/?back=members,https://ballotpedia.org/Becky_Cash;https://en.wikipedia.org/wiki/Becky_Cash;https://iga.in.gov/legislative/2024/legislators/legislator_becky_cash_1;https://iga.in.gov/legislative/2026/legislators/legislator_becky_cash_1;https://justfacts.votesmart.org/candidate/201962/becky-cash;https://www.beckycash.com;https://www.indianahouserepublicans.com/members;https://www.indianahouserepublicans.com/members/;https://www.indianahouserepublicans.com/members/general/becky-cash;https://www.indianahouserepublicans.com/members/general/becky-cash/?back=members;https://www.linkedin.com/in/becky-cash-b5519b31,,,,,,,,,,,
ocd-person/ea2c35cb-7071-43de-8dc6-e91756d03f11,Ben Smaltz,Republican,52,lower,Ben,Smaltz,Male,h52@iga.in.gov,,1970-01-17,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Main_List/Smaltz_main_list2023.png,https://iga.in.gov/legislative/2021/legislators/legislator_ben_smaltz_1118;https://iga.in.gov/legislative/2021/legislators/legislator_ben_smaltz_1118/;https://iga.in.gov/legislative/2024/legislators/legislator_ben_smaltz_1118/;https://iga.in.gov/legislative/2026/legislators/legislator_ben_smaltz_1118/;https://www.indianahouserepublicans.com/members/general/ben-smaltz/;https://www.indianahouserepublicans.com/members/general/ben-smaltz/?back=members,https://api.iga.in.gov/2021/legislators/ben_smaltz_1118;https://ballotpedia.org/Ben_Smaltz;https://en.wikipedia.org/wiki/Ben_Smaltz;https://iga.in.gov/legislative/2021/legislators/legislator_ben_smaltz_1118;https://iga.in.gov/legislative/2021/legislators/legislator_ben_smaltz_1118/;https://iga.in.gov/legislative/2024/legislators/legislator_ben_smaltz_1118;https://iga.in.gov/legislative/2026/legislators/legislator_ben_smaltz_1118;https://justfacts.votesmart.org/candidate/biography/84643/ben-smaltz;https://www.indianahouserepublicans.com/members;https://www.indianahouserepublicans.com/members/;https://www.indianahouserepublicans.com/members/general/ben-smaltz;https://www.indianahouserepublicans.com/members/general/ben-smaltz/?back=members;https://www.linkedin.com/in/ben-smaltz-8a513816,,,,,,,,,,,
ocd-person/a1002ff1-ffd8-4d82-8db9-3a8295ca5e06,Blake Doriot,Republican,12,upper,Blake,Doriot,Male,s12@iga.in.gov,,,,https://cdn.zephyrcms.com/6e687e05-6d5e-450b-a8b4-f08c648001c2/-/progressive/yes/-/format/jpeg/-/scale_crop/200x300/center/-/stretch/off/doriot-website.jpg,https://iga.in.gov/legislative/2021/legislators/legislator_blake_doriot_1;https://iga.in.gov/legislative/2022/legislators/legislator_blake_doriot_1/;https://www.indianasenaterepublicans.com/doriot,https://api.iga.in.gov/2021/legislators/blake_doriot_1;https://ballotpedia.org/Blake_Doriot;https://en.wikipedia.org/wiki/Blake_Doriot;https://iga.in.gov/legislative/2021/legislators/legislator_blake_doriot_1;https://iga.in.gov/legislative/2022/legislators/legislator_blake_doriot_1;https://justfacts.votesmart.org/candidate/biography/167534/blake-doriot;https://www.indianasenaterepublicans.com/doriot;https://www.indianasenaterepublicans.com/senators;https://www.linkedin.com/in/c-blake-doriot-5b098649,,,,,,,,,,,
ocd-person/5fd5f8d8-b47c-4b69-ba1a-d89f0fb106a7,Blake Johnson,Democratic,100,lower,Blake,Johnson,Male,h100@iga.in.gov,,,,https://indianahousedemocrats.org/images/made/images/remote/https_assets.indianahousedemocrats.org/members/Headshots/johnson_2020_blake_web_800_999_80.jpg,https://iga.in.gov/legislative/2020/legislators/legislator_blake_johnson_1/;https://iga.in.gov/legislative/2021/legislators/legislator_blake_johnson_1;https://iga.in.gov/legislative/2024/legislators/legislator_blake_johnson_1/;https://iga.in.gov/legislative/2026/legislators/legislator_blake_johnson_1/;https://indianahousedemocrats.org/members/blake-johnson,https://api.iga.in.gov/2021/legislators/blake_johnson_1;https://ballotpedia.org/Robert_Blake_Johnson;https://en.wikipedia.org/wiki/Blake_Johnson;https://iga.in.gov/legislative/2021/legislators/legislator_blake_johnson_1;https://iga.in.gov/legislative/2024/legislators/legislator_blake_johnson_1;https://iga.in.gov/legislative/2026/legislators/legislator_blake_johnson_1;https://indianahousedemocrats.org/members;https://indianahousedemocrats.org/members/blake-johnson;https://indianahousedemocrats.org/members/blake-johnson/full;https://justfacts.votesmart.org/candidate/biography/169259/blake-johnson;https://www.indianahousedemocrats.org/members/blake-johnson;https://www.linkedin.com/in/blake-johnson-31aa1510,,,,,,,,,,,
ocd-person/6629fcea-f482-4e63-872d-d2f8734502ca,Brad Barrett,Republican,56,lower,Brad,Barrett,Male,h56@iga.in.gov,,,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Main_List/Barrett_mainlist3.png,https://iga.in.gov/legislative/2019/legislators/legislator_bradford_barrett_1/;https://iga.in.gov/legislative/2021/legislators/legislator_bradford_barrett_1;https://iga.in.gov/legislative/2024/legislators/legislator_bradford_barrett_1/;https://iga.in.gov/legislative/2026/legislators/legislator_bradford_barrett_1/;https://www.indianahouserepublicans.com/members/general/brad-barrett/?back=members;https://www.indianahouserepublicans.com/members/general/bradford-barrett/,https://api.iga.in.gov/2021/legislators/bradford_barrett_1;https://ballotpedia.org/Bradford_Barrett;https://en.wikipedia.org/wiki/Bradford_Barrett;https://iga.in.gov/legislative/2021/legislators/legislator_bradford_barrett_1;https://iga.in.gov/legislative/2024/legislators/legislator_bradford_barrett_1;https://iga.in.gov/legislative/2026/legislators/legislator_bradford_barrett_1;https://justfacts.votesmart.org/candidate/biography/178180/bradford-barrett;https://www.indianahouserepublicans.com/members;https://www.indianahouserepublicans.com/members/;https://www.indianahouserepublicans.com/members/general/brad-barrett/?back=members;https://www.indianahouserepublicans.com/members/general/bradford-barrett;https://www.indianahouserepublicans.com/members/general/bradford-barrett/;https://www.linkedin.com/in/bradford-barrett-m-d-a4984419,,,,,,,,,,,
ocd-person/08d4ca65-7f96-4df8-80cf-33b1cb156a47,Brett Clark,Republican,24,upper,Brett,Clark,Male,s24@iga.in.gov,,,,https://cdn.myocv.com/ocvapps/a106646122/files/654a84bda94ee-6526d35518084-ProfilewithLogo2x.png,https://www.indianasenaterepublicans.com/clark,https://ballotpedia.org/Brett_A._Clark_(Indiana);https://en.wikipedia.org/wiki/Brett_Clark_(politician);https://justfacts.votesmart.org/candidate/biography/214702/brett-clark;https://www.indianasenaterepublicans.com/clark;https://www.linkedin.com/in/brett-clark-5a9990265,,,,,,,,,,,
ocd-person/0482a330-c9fb-4f41-b136-88a4aef2de6a,Brian Buchanan,Republican,7,upper,Brian,Buchanan,Male,s7@iga.in.gov,,,,https://cdn.zephyrcms.com/8c4e2d6b-46c5-472e-b027-82db8d3fa31d/-/progressive/yes/-/format/jpeg/-/scale_crop/200x300/center/-/stretch/off/buchanan-website.jpg,https://iga.in.gov/legislative/2021/legislators/legislator_brian_buchanan_1;https://iga.in.gov/legislative/2022/legislators/legislator_brian_buchanan_1/;https://www.indianasenaterepublicans.com/buchanan,https://api.iga.in.gov/2021/legislators/brian_buchanan_1;https://ballotpedia.org/Brian_Buchanan;https://en.wikipedia.org/wiki/Brian_Buchanan_(politician);https://iga.in.gov/legislative/2021/legislators/legislator_brian_buchanan_1;https://iga.in.gov/legislative/2022/legislators/legislator_brian_buchanan_1;https://justfacts.votesmart.org/candidate/175299/brian-buchanan;https://www.indianasenaterepublicans.com/buchanan;https://www.indianasenaterepublicans.com/senators,,,,,,,,,,,
