id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/2a1a6b8f-1f9c-4a1b-9059-7b2f8cc93ed9,Alyse Galvin,Independent,14,lower,Alyse,Galvin,Female,representative.alyse.galvin@akleg.gov,,1965-07-18,,http://akleg.gov/images/legislators/450x600/GAL.jpg,https://akhouse.org/rep-galvin/;https://www.akleg.gov/basis/Member/Detail/33?code=gal;https://www.akleg.gov/basis/Member/Detail/34?code=gal,https://akhouse.org/rep-galvin;https://ballotpedia.org/Alyse_Galvin;https://en.wikipedia.org/wiki/Alyse_Galvin;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/33?code=GAL;https://www.akleg.gov/basis/Member/Detail/33?code=gal;https://www.akleg.gov/basis/Member/Detail/34?code=gal,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0190,,AlyseGalvin,,representative_alyse_galvin,repalysegalvin,
ocd-person/7db414a5-dd7e-48a9-aba2-9c0204f93a5c,Andi Story,Democratic,3,lower,Andi,Story,Female,representative.andi.story@akleg.gov,,1959-04-02,,http://akleg.gov/images/legislators/450x600/STO.jpg,https://akhouse.org/rep-story/;https://www.akleg.gov/basis/Member/Detail/31?code=sto;https://www.akleg.gov/basis/Member/Detail/32?code=sto;https://www.akleg.gov/basis/Member/Detail/33?code=STO;https://www.akleg.gov/basis/Member/Detail/33?code=sto;https://www.akleg.gov/basis/Member/Detail/34?code=sto,https://akhouse.org/rep-story;https://ballotpedia.org/Andi_Story;https://en.wikipedia.org/wiki/Andi_Story;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/33?code=STO;https://www.akleg.gov/basis/Member/Detail/33?code=sto;https://www.akleg.gov/basis/Member/Detail/34?code=sto,,,,,,,,,,RepAndiStory,
ocd-person/822df52b-f962-478d-8bf5-3bbe3c9dd811,Andrew Gray,Democratic,20,lower,Andrew,Gray,Male,representative.andrew.gray@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/GRY.jpg,https://akhouse.org/rep-gray/;https://www.akleg.gov/basis/Member/Detail/33?code=gry;https://www.akleg.gov/basis/Member/Detail/34?code=gry,https://akhouse.org/rep-gray;https://ballotpedia.org/Andrew_Gray_(Alaska);https://en.wikipedia.org/wiki/Andrew_Gray_(politician);https://justfacts.votesmart.org/candidate/biography/207942/andrew-gray;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/33?code=GRY;https://www.akleg.gov/basis/Member/Detail/33?code=gry;https://www.akleg.gov/basis/Member/Detail/34?code=gry,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0123,,rep_gray,,,repandrewgray,
ocd-person/e1989648-fdd3-4e88-a0f0-9e27e75c0f03,Andy Josephson,Democratic,13,lower,Andy,Josephson,Male,representative.andy.josephson@akleg.gov,,1964-07-15,,http://akleg.gov/images/legislators/450x600/JOS.jpg,https://akhouse.org/rep_josephson/;https://www.akleg.gov/basis/Member/Detail/30?code=jos;https://www.akleg.gov/basis/Member/Detail/31?code=jos;https://www.akleg.gov/basis/Member/Detail/32?code=jos;https://www.akleg.gov/basis/Member/Detail/33?code=jos;https://www.akleg.gov/basis/Member/Detail/34?code=jos,https://akhouse.org/rep_josephson;https://ballotpedia.org/Andrew_L._Josephson;https://en.wikipedia.org/wiki/Andy_Josephson;https://justfacts.votesmart.org/candidate/140434/andy-josephson;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/30?code=jos;https://www.akleg.gov/basis/Member/Detail/33?code=JOS;https://www.akleg.gov/basis/Member/Detail/33?code=jos;https://www.akleg.gov/basis/Member/Detail/34?code=jos;https://www.linkedin.com/in/andrew-josephson-34157829,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0265,,RepAndyJ,,rep_andy_josephson,RepAndyJosephson,
ocd-person/1ac31dd3-6e42-43b1-91b0-4da4a1399543,Ashley Carrick,Democratic,35,lower,Ashley,Carrick,Female,representative.ashley.carrick@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/CAI.jpg,https://akhouse.org/rep-carrick/;https://www.akleg.gov/basis/Member/Detail/33?code=cai;https://www.akleg.gov/basis/Member/Detail/34?code=cai,https://akhouse.org/rep-carrick;https://ballotpedia.org/Ashley_Carrick;https://en.wikipedia.org/wiki/Ashley_Carrick;https://justfacts.votesmart.org/candidate/biography/207966/ashley-carrick;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/33?code=CAI;https://www.akleg.gov/basis/Member/Detail/33?code=cai;https://www.akleg.gov/basis/Member/Detail/34?code=cai;https://www.linkedin.com/in/ashley-carrick-a102a2119,,,,"1292 Sadler Way Suite 308, Fairbanks, AK 99701",907-452-6084,,RepCarrick,,repcarrick,RepCarrick,
ocd-person/a160c8f2-f8a9-4429-9bc2-e14831545503,Becky Schwanke,Republican,36,lower,Becky,Schwanke,Female,representative.rebecca.schwanke@akleg.gov,,,,https://bloximages.newyork1.vip.townnews.com/newsminer.com/content/tncms/assets/v3/editorial/3/e9/3e94520a-9536-11ef-bf77-632b9a4876c1/671f9b183c878.image.jpg?resize=424%2C500,https://www.akleg.gov/basis/Member/Detail/34?code=scw,https://ballotpedia.org/Becky_Schwanke;https://justfacts.votesmart.org/candidate/biography/218216/rebecca-schwanke;https://www.akleg.gov/basis/Member/Detail/34?code=scw;https://www.linkedin.com/in/rebeccaschwanke,,,,,,,,,schwankeforstatehouse,,
ocd-person/bfdc2ee2-7760-4119-9d68-4962f1e1a285,Bert Stedman,Republican,A,upper,Bert,Stedman,Male,senator.bert.stedman@akleg.gov,,1956-03-06,,http://akleg.gov/images/legislators/450x600/SMN.jpg,https://alaskasenate.org/stedman/;https://www.akleg.gov/basis/Member/Detail/30?code=smn;https://www.akleg.gov/basis/Member/Detail/31?code=smn;https://www.akleg.gov/basis/Member/Detail/32?code=smn;https://www.akleg.gov/basis/Member/Detail/33?code=smn;https://www.akleg.gov/basis/Member/Detail/34?code=smn,https://alaskasenate.org/stedman;https://ballotpedia.org/Bert_K._Stedman;https://en.wikipedia.org/wiki/Bert_Stedman;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/30?code=smn;https://www.akleg.gov/basis/Member/Detail/33?code=SMN;https://www.akleg.gov/basis/Member/Detail/33?code=smn;https://www.akleg.gov/basis/Member/Detail/34?code=smn,,,,"1900 1st Ave. Suite 310, Ketchikan, AK 99901",907-225-8088,,SenStedman,,,,
ocd-person/354dc869-cbaf-4298-89cd-c691c0f52a1e,Bill Elam,Republican,8,lower,Bill,Elam,Male,representative.bill.elam@akleg.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/BillElam2024.jpg,https://www.akleg.gov/basis/Member/Detail/34?code=ela,https://ballotpedia.org/Bill_Elam;https://en.wikipedia.org/wiki/Bill_Elam;https://justfacts.votesmart.org/candidate/biography/196774/bill-elam;https://www.akleg.gov/basis/Member/Detail/34?code=ela;https://www.linkedin.com/in/bill-elam-b6970213,,,,"145 Main Street Loop, Kenai, AK 99611",907-283-7223,,,,,,
ocd-person/57554431-caac-4074-a8d8-40a4e6289ec1,Bill Wielechowski,Democratic,K,upper,Bill,Wielechowski,Male,senator.bill.wielechowski@akleg.gov,,1967-12-07,,http://akleg.gov/images/legislators/450x600/WIE.jpg,https://alaskasenate.org/wielechowski/;https://senatorbill.org/;https://www.akleg.gov/basis/Member/Detail/30?code=wie;https://www.akleg.gov/basis/Member/Detail/31?code=wie;https://www.akleg.gov/basis/Member/Detail/32?code=wie;https://www.akleg.gov/basis/Member/Detail/33?code=wie;https://www.akleg.gov/basis/Member/Detail/34?code=wie,https://alaskasenate.org/wielechowski;https://ballotpedia.org/Bill_Wielechowski;https://en.wikipedia.org/wiki/Bill_Wielechowski;https://justfacts.votesmart.org/candidate/biography/68283/bill-wielechowski;https://senatorbill.org;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/30?code=wie;https://www.akleg.gov/basis/Member/Detail/33?code=WIE;https://www.akleg.gov/basis/Member/Detail/33?code=wie;https://www.akleg.gov/basis/Member/Detail/34?code=wie;https://www.linkedin.com/in/bill-wielechowski-641866,,,,"1500 W. Benson Blvd., Anchorage, AK 99501",907-269-0120,,SenWielechowski,,,bill.wielechowski,
ocd-person/b097e069-345d-42da-b821-0c2c9747ccfc,Bryce Edgmon,Independent,37,lower,Bryce,Edgmon,Male,representative.bryce.edgmon@akleg.gov,,1961-05-03,,http://akleg.gov/images/legislators/450x600/EDG.jpg,https://akhousemajority.com/rep-edgmon/;https://www.akleg.gov/basis/Member/Detail/30?code=edg;https://www.akleg.gov/basis/Member/Detail/31?code=edg;https://www.akleg.gov/basis/Member/Detail/32?code=edg;https://www.akleg.gov/basis/Member/Detail/33?code=edg;https://www.akleg.gov/basis/Member/Detail/34?code=edg,https://akhousemajority.com/rep-edgmon;https://ballotpedia.org/Bryce_E._Edgmon;https://ballotpedia.org/Bryce_Edgmon;https://en.wikipedia.org/wiki/Bryce_Edgmon;https://justfacts.votesmart.org/candidate/biography/68319/bryce-edgmon;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/30?code=edg;https://www.akleg.gov/basis/Member/Detail/33?code=EDG;https://www.akleg.gov/basis/Member/Detail/33?code=edg;https://www.akleg.gov/basis/Member/Detail/34?code=edg;https://www.linkedin.com/in/bryce-edgmon-8a05b765,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0275,,BryceEdgmon,,,RepEdgmon,
ocd-person/8ed150a0-45be-4844-abe5-d921c9f5a435,Calvin Schrage,Independent,12,lower,Calvin,Schrage,Male,representative.calvin.schrage@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/SCG.jpg,https://akhouse.org/rep-schrage/;https://www.akleg.gov/basis/Member/Detail/32?code=scg;https://www.akleg.gov/basis/Member/Detail/33?code=SCG;https://www.akleg.gov/basis/Member/Detail/33?code=scg;https://www.akleg.gov/basis/Member/Detail/34?code=scg,https://akhouse.org/rep-schrage;https://ballotpedia.org/Calvin_Schrage;https://en.wikipedia.org/wiki/Calvin_Schrage;https://justfacts.votesmart.org/candidate/biography/194416/calvin-schrage;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/33?code=SCG;https://www.akleg.gov/basis/Member/Detail/33?code=scg;https://www.akleg.gov/basis/Member/Detail/34?code=scg;https://www.linkedin.com/in/calvinschrage,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0205,,,,calvinschrage,repcalvinschrage,
ocd-person/c9bf1b47-3ed8-49e8-9535-2a7094c52d1a,Carolyn Hall,Democratic,16,lower,Carolyn,Hall,Female,representative.carolyn.hall@akleg.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/CarolynHall2024.jpg,https://www.akleg.gov/basis/Member/Detail/34?code=hll,https://ballotpedia.org/Carolyn_Hall;https://justfacts.votesmart.org/candidate/biography/218157/carolyn-hall;https://www.akleg.gov/basis/Member/Detail/34?code=hll;https://www.jensenhall.com;https://www.linkedin.com/in/carolyn-hall,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0117,,CHall_AK,,carolynforalaska,CarolynforAlaska,
ocd-person/4ac9a4bf-e2d9-4257-a360-9e91dc234deb,Cathy Giessel,Republican,E,upper,Cathy,Giessel,Female,senator.cathy.giessel@akleg.gov,,1951-11-09,,http://akleg.gov/images/legislators/450x600/GIE.jpg,https://alaskasenate.org/giessel/;https://www.akleg.gov/basis/Member/Detail/30?code=gie;https://www.akleg.gov/basis/Member/Detail/31?code=gie;https://www.akleg.gov/basis/Member/Detail/33?code=GIE;https://www.akleg.gov/basis/Member/Detail/33?code=gie;https://www.akleg.gov/basis/Member/Detail/34?code=gie,https://alaskasenate.org/giessel;https://ballotpedia.org/Catherine_A._Giessel;https://en.wikipedia.org/wiki/Cathy_Giessel;https://justfacts.votesmart.org/candidate/biography/117402/cathy-giessel;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/30?code=gie;https://www.akleg.gov/basis/Member/Detail/33?code=GIE;https://www.akleg.gov/basis/Member/Detail/33?code=gie;https://www.akleg.gov/basis/Member/Detail/34?code=gie,,,,"1500 W. Benson Blvd., Anchorage, AK 99501",907-269-0181,,,,,SenatorCathyGiessel,
ocd-person/f1816065-31d1-4757-b8b9-714e15daeccf,Cathy Tilton,Republican,M,upper,Cathy,Tilton,Female,senator.cathy.tilton@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/TLT.jpg,https://akhousemajority.com/rep-tilton/;https://www.akleg.gov/basis/Member/Detail/30?code=tlt;https://www.akleg.gov/basis/Member/Detail/31?code=tlt;https://www.akleg.gov/basis/Member/Detail/32?code=tlt;https://www.akleg.gov/basis/Member/Detail/33?code=tlt;https://www.akleg.gov/basis/Member/Detail/34?code=tlt;https://www.akleg.gov/basis/Member/Detail/34?code=TTN,https://akhousemajority.com/rep-tilton;https://ballotpedia.org/Cathy_L._Tilton;https://cathytilton.com;https://en.wikipedia.org/wiki/Cathy_Tilton;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/30?code=tlt;https://www.akleg.gov/basis/Member/Detail/33?code=TLT;https://www.akleg.gov/basis/Member/Detail/33?code=tlt;https://www.akleg.gov/basis/Member/Detail/34?code=tlt;https://www.akleg.gov/basis/Member/Detail/34?code=TTN;https://www.linkedin.com/in/cathy-tilton-5b736744,,,,,,,,,,Tilton4Alaska,
ocd-person/7474d172-6c90-47f9-aae1-9f66c9518be2,Chuck Kopp,Republican,10,lower,Chuck,Kopp,Male,representative.chuck.kopp@akleg.gov,,,,http://akleg.gov/images/legislators/kop.jpg,https://www.akleg.gov/basis/Member/Detail/30?code=kop;https://www.akleg.gov/basis/Member/Detail/31?code=kop;https://www.akleg.gov/basis/Member/Detail/34?code=kop,https://ballotpedia.org/Charles_M._Kopp;https://en.wikipedia.org/wiki/Chuck_Kopp;https://justfacts.votesmart.org/candidate/biography/171542/charles-kopp;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/Member/Detail/30?code=kop;https://www.akleg.gov/basis/Member/Detail/34?code=kop;https://www.linkedin.com/in/chuck-kopp-b026097b,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0200,,,,rep.chuck.kopp,RepChuckKopp,
ocd-person/7dcdf7b8-530a-4b81-85b6-745af9224eb1,Dan Saddler,Republican,24,lower,Dan,Saddler,Male,representative.dan.saddler@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/SAD.jpg,https://akhousemajority.com/rep-saddler/;https://www.akleg.gov/basis/Member/Detail/30?code=sad;https://www.akleg.gov/basis/Member/Detail/33?code=SAD;https://www.akleg.gov/basis/Member/Detail/33?code=sad;https://www.akleg.gov/basis/Member/Detail/34?code=sad,https://akhousemajority.com/rep-saddler;https://ballotpedia.org/Dan_Saddler;https://en.wikipedia.org/wiki/Dan_Saddler;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/30?code=sad;https://www.akleg.gov/basis/Member/Detail/33?code=SAD;https://www.akleg.gov/basis/Member/Detail/33?code=sad;https://www.akleg.gov/basis/Member/Detail/34?code=sad;https://www.linkedin.com/in/dan-saddler-420a9aa5,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-334-2630,,,,,dansaddleralaska,
ocd-person/e1a32811-98f9-484f-8d4b-12df7eab4183,David Nelson,Republican,18,lower,David,Nelson,Male,representative.david.nelson@akleg.gov,,,,http://akleg.gov/images/legislators/ned.jpg,https://www.akleg.gov/basis/Member/Detail/32?code=ned;https://www.akleg.gov/basis/Member/Detail/34?code=ned,https://ballotpedia.org/David_Nelson_(Alaska);https://en.wikipedia.org/wiki/David_Nelson_(Alaska_politician);https://justfacts.votesmart.org/candidate/biography/194410/david-nelson;https://nelsonforalaska.com/meet-david;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/Member/Detail/32?code=ned;https://www.akleg.gov/basis/Member/Detail/34?code=ned,,,,"1500 W. Benson Blvd, Anchorage, AK 99503",907-269-0216,,,,,NelsonforAlaska,
ocd-person/d7d4a21d-942e-46f7-92b6-237f1741b025,DeLena Johnson,Republican,25,lower,DeLena,Johnson,Female,representative.delena.johnson@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/JHS.jpg,https://akhousemajority.com/rep-d-johnson/;https://www.akleg.gov/basis/Member/Detail/30?code=jhs;https://www.akleg.gov/basis/Member/Detail/31?code=jhs;https://www.akleg.gov/basis/Member/Detail/32?code=jhs;https://www.akleg.gov/basis/Member/Detail/33?code=JHS;https://www.akleg.gov/basis/Member/Detail/33?code=jhs;https://www.akleg.gov/basis/Member/Detail/34?code=jhs;https://www.akleg.gov/basis/Member/Detail/34?code=jim,https://akhousemajority.com/rep-d-johnson;https://ballotpedia.org/Delena_Johnson;https://en.wikipedia.org/wiki/DeLena_Johnson;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/30?code=jhs;https://www.akleg.gov/basis/Member/Detail/33?code=JHS;https://www.akleg.gov/basis/Member/Detail/33?code=jhs;https://www.akleg.gov/basis/Member/Detail/34?code=jhs;https://www.akleg.gov/basis/Member/Detail/34?code=jim;https://www.linkedin.com/in/delena-johnson-a7070248,,,,"600 E. Railroad Ave., Wasilla, AK 99654",907-376-4958,907-376-4928,RepDeLena,,delenaalaska,RepDeLena,
ocd-person/fbe52f5e-1dd2-4d44-9205-b2ebbbe39eee,Donna Mears,Democratic,21,lower,Donna,Mears,Female,representative.donna.mears@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/MEA.jpg,https://akhouse.org/rep-mears/;https://www.akleg.gov/basis/Member/Detail/33?code=mea;https://www.akleg.gov/basis/Member/Detail/34?code=mea,https://akhouse.org/rep-mears;https://ballotpedia.org/Donna_Mears;https://en.wikipedia.org/wiki/Donna_Mears;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/33?code=MEA;https://www.akleg.gov/basis/Member/Detail/33?code=mea;https://www.akleg.gov/basis/Member/Detail/34?code=mea;https://www.linkedin.com/in/donna-c-mears-p-e-0a30b0a,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0100,,DonnaMears,,,Rep.Mears,
ocd-person/cd3ca264-553d-4e21-a993-e3f5097b1b77,Donny Olson,Democratic,T,upper,Donny,Olson,Male,senator.donald.olson@akleg.gov,,1953-06-18,,http://akleg.gov/images/legislators/450x600/OLS.jpg,https://alaskasenate.org/olson/;https://www.akleg.gov/basis/Member/Detail/30?code=ols;https://www.akleg.gov/basis/Member/Detail/31?code=ols;https://www.akleg.gov/basis/Member/Detail/32?code=ols;https://www.akleg.gov/basis/Member/Detail/33?code=ols;https://www.akleg.gov/basis/Member/Detail/34?code=ols,https://alaskasenate.org/olson;https://ballotpedia.org/Donald_C._Olson;https://en.wikipedia.org/wiki/Donny_Olson;https://justfacts.votesmart.org/candidate/biography/27314/donald-olson;https://senatorolson.wordpress.com;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/30?code=ols;https://www.akleg.gov/basis/Member/Detail/33?code=OLS;https://www.akleg.gov/basis/Member/Detail/33?code=ols;https://www.akleg.gov/basis/Member/Detail/34?code=ols,,,,,,,,,,,
ocd-person/6e6762ad-37ca-4166-982c-75aab9701d0c,Elexie Moore,Republican,28,lower,Elexie,Moore,Female,representative.elexie.moore@akleg.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/ElexieMoore2024.png,https://www.akleg.gov/basis/Member/Detail/34?code=moo,https://ballotpedia.org/Elexie_Moore;https://en.wikipedia.org/wiki/Elexie_Moore;https://justfacts.votesmart.org/candidate/biography/218162/elexie-moore;https://www.akleg.gov/basis/Member/Detail/34?code=moo,,,,"600 E. Railroad Ave., Wasilla, AK 99654",907-373-6285,,,,,,
ocd-person/2ba2d14f-a08a-4f05-a9d4-5ca63d09561e,Elvi Gray-Jackson,Democratic,G,upper,Elvi,Gray-Jackson,Female,senator.elvi.gray-jackson@akleg.gov,,1953-04-08,,http://akleg.gov/images/legislators/450x600/GRA.jpg,https://alaskasenate.org/gray-jackson/;https://www.akleg.gov/basis/Member/Detail/31?code=gra;https://www.akleg.gov/basis/Member/Detail/32?code=gra;https://www.akleg.gov/basis/Member/Detail/33?code=GRA;https://www.akleg.gov/basis/Member/Detail/33?code=gra;https://www.akleg.gov/basis/Member/Detail/34?code=gra,https://alaskasenate.org/gray-jackson;https://ballotpedia.org/Elvi_Gray-Jackson;https://en.wikipedia.org/wiki/Elvi_Gray-Jackson;https://justfacts.votesmart.org/candidate/biography/105212/elvi-gray-jackson;https://w3.akleg.gov;https://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/33?code=GRA;https://www.akleg.gov/basis/Member/Detail/33?code=gra;https://www.akleg.gov/basis/Member/Detail/34?code=gra;https://www.linkedin.com/in/elvi-gray-jackson-6640983,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0174,,,,senator_elvi,SenatorElviGrayJackson,
ocd-person/4511370e-1ac8-4135-a622-d5b533faeb43,Forrest Dunbar,Democratic,J,upper,Forrest,Dunbar,Male,senator.forrest.dunbar@akleg.gov,,1984-09-19,,http://akleg.gov/images/legislators/450x600/DNB.jpg,https://alaskasenate.org/dunbar/;https://www.akleg.gov/basis/Member/Detail/33?code=dnb;https://www.akleg.gov/basis/Member/Detail/34?code=dnb,https://alaskasenate.org/dunbar;https://ballotpedia.org/Forrest_Dunbar;https://en.wikipedia.org/wiki/Forrest_Dunbar;https://justfacts.votesmart.org/candidate/biography/145947/forrest-dunbar;https://www.akleg.gov/basis/mbr_info.asp?session=33;https://www.akleg.gov/basis/Member/Detail/33?code=DNB;https://www.akleg.gov/basis/Member/Detail/33?code=dnb;https://www.akleg.gov/basis/Member/Detail/34?code=dnb;https://www.forrestdunbar.com;https://www.linkedin.com/in/forrest-dunbar-4a61b113,,,,"1500 W. Benson Blvd., Anchorage, AK 99503",907-269-0246,,ForrestDunbarAK,,sendunbar,sendunbar,
