id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/788d408d-cb80-43fd-802a-4778a930894d,Alabas Farhat,Democratic,3,lower,Alabas,Farhat,Male,alabasfarhat@house.mi.gov,,,,,https://housedems.com/Alabas-Farhat/,https://ballotpedia.org/Alabas_Farhat;https://en.wikipedia.org/wiki/Alabas_Farhat;https://housedems.com/Alabas-Farhat;https://housedems.com/Alabas-Farhat/;https://housedems.com/alabas-farhat/about;https://www.house.mi.gov/AllRepresentatives;https://www.linkedin.com/in/alabasf,,,,,,,,,,,
ocd-person/81da0894-0569-4c8d-9c4e-befd39650fee,Alicia St. Germaine,Republican,62,lower,Alicia,St. Germaine,Female,aliciastgermaine@house.mi.gov,,,,https://www.house.mi.gov/media/Representatives/St. Germaine-062.jpg,https://gophouse.org/member/RepAliciaStGermaine/posts,https://ballotpedia.org/Alicia_St._Germaine;https://en.wikipedia.org/wiki/Alicia_St._Germaine;https://gophouse.org/member/RepAliciaStGermaine/posts;https://justfacts.votesmart.org/candidate/206712/alicia-st-germaine;https://RepStGermaine.com;https://www.aliciastgermaine.com/about-alicia;https://www.house.mi.gov/AllRepresentatives;https://www.house.mi.gov/repdetail/repAliciaSt. Germaine,,,,,,,,,,,
ocd-person/5f160dff-1ce1-4606-a469-fdd08125beb4,Amos O'Neal,Democratic,94,lower,Amos,O'Neal,Male,amosoneal@house.mi.gov,,1961-07-17,,,https://housedems.com/amos-oneal/,https://ballotpedia.org/Amos_O%27Neal;https://en.wikipedia.org/wiki/Amos_O%27Neal;https://housedems.com/amos-oneal;https://housedems.com/amos-oneal/;https://justfacts.votesmart.org/candidate/biography/76476/amos-oneal;https://www.gongwer.com/directories/bio.cfm?nameid=563201;https://www.house.mi.gov/AllRepresentatives;https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.linkedin.com/in/amosoneal;https://www.michiganlcv.org/lawmaker/amos-oneal,,,,,,,,,,,
ocd-person/527d59db-a346-4a91-8f98-e1b57947b58c,Angela Rigas,Republican,79,lower,Angela,Rigas,Female,angelarigas@house.mi.gov,,1974-10-27,,https://www.house.mi.gov/media/Representatives/Rigas-079.jpg,https://gophouse.org/member/RepAngelaRigas/posts,https://ballotpedia.org/Angela_Rigas;https://en.wikipedia.org/wiki/Angela_Rigas;https://gophouse.org/member/RepAngelaRigas/about;https://gophouse.org/member/RepAngelaRigas/posts;https://justfacts.votesmart.org/candidate/biography/153583/angela-rigas;https://RepRigas.com;https://www.house.mi.gov/AllRepresentatives;https://www.house.mi.gov/repdetail/repAngelaRigas;https://www.linkedin.com/in/angela-rigas-044280259,,,,,,,,,,,
ocd-person/0db39d07-a543-4e52-82b0-457f406855e8,Angela Witwer,Democratic,76,lower,Angela,Witwer,Female,angelawitwer@house.mi.gov,,,,https://housedems.com/sites/default/files/Images/Representative_Images/D071_Angela_Witwer/071_Witwer.jpg,https://housedems.com/angela-witwer/;https://housedems.com/witwer,https://ballotpedia.org/Angela_Witwer;https://en.wikipedia.org/wiki/Angela_Witwer;https://housedems.com/angela-witwer;https://housedems.com/angela-witwer/;https://housedems.com/witwer;https://justfacts.votesmart.org/candidate/182870/angela-witwer;https://www.house.mi.gov/AllRepresentatives;https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.linkedin.com/in/angelawitwer,,,,,,,,,,,
ocd-person/3a9d71dc-da5b-4bd3-8062-c8387292dc52,Ann Bollin,Republican,49,lower,Ann,Bollin,Female,annbollin@house.mi.gov,,1960-08-18,,https://dtj5wlj7ond0z.cloudfront.net/uploads/2020/07/HS_AnnBollin_0119-scaled.jpg,https://gophouse.org/member/repannbollin/about;https://gophouse.org/representatives/southeast/bollin/,https://ballotpedia.org/Ann_Bollin;https://en.wikipedia.org/wiki/Ann_Bollin;https://gophouse.org/member/repannbollin/about;https://gophouse.org/representatives/southeast/bollin;https://gophouse.org/representatives/southeast/bollin/;https://justfacts.votesmart.org/candidate/biography/182799/ann-bollin;https://RepBollin.com;https://www.house.mi.gov/AllRepresentatives;https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.linkedin.com/in/ann-bollin-4382676,,,,,,,,,,,
ocd-person/6d11944d-f19f-4697-811c-0c9dca750c57,Aric Nesbitt,Republican,20,upper,Aric,Nesbitt,Male,senanesbitt@senate.michigan.gov,,1980-01-25,,https://www.misenategop.com/wp-content/uploads/2019/01/Nesbitt-580x770.jpg,https://www.senatoraricnesbitt.com;https://www.senatoraricnesbitt.com/;https://www.senatoraricnesbitt.com/contact,https://ballotpedia.org/Aric_Nesbitt;https://en.wikipedia.org/wiki/Aric_Nesbitt;https://justfacts.votesmart.org/candidate/biography/124278/aric-nesbitt;https://senate.michigan.gov/senatorinfo_list.html;https://senate.michigan.gov/senators/SenatorData.json;https://senate.michigan.gov/senators/senatorinfo_list.html;https://www.linkedin.com/in/aric-nesbitt-9b5ab82;https://www.senatoraricnesbitt.com;https://www.senatoraricnesbitt.com/,,,,,,,,,,,
ocd-person/80ccf9a5-7303-4218-be3e-0ab6f8e90eee,Betsy Coffia,Democratic,103,lower,Betsy,Coffia,Female,betsycoffia@house.mi.gov,,1977-09-07,,,https://housedems.com/Betsy-Coffia/,https://ballotpedia.org/Betsy_Coffia;https://en.wikipedia.org/wiki/Betsy_Coffia;https://housedems.com/Betsy-Coffia;https://housedems.com/Betsy-Coffia/;https://housedems.com/betsy-coffia/about;https://justfacts.votesmart.org/candidate/biography/140024/betsy-coffia;https://www.house.mi.gov/AllRepresentatives;https://www.linkedin.com/in/betsycoffia,,,,,,,,,,,
ocd-person/5355f558-55bb-4f29-81eb-89179f55d69a,Bill Schuette,Republican,95,lower,Bill,Schuette,Male,billschuette@house.mi.gov,,,,https://www.house.mi.gov/media/Representatives/Schuette-095.jpg,https://gophouse.org/member/RepBillGSchuette/posts;https://gophouse.org/member/RepBillSchuette/posts,https://ballotpedia.org/Bill_G._Schuette;https://en.wikipedia.org/wiki/Bill_G._Schuette;https://gophouse.org/member/RepBillGSchuette/posts;https://gophouse.org/member/RepBillSchuette/about;https://gophouse.org/member/RepBillSchuette/posts;https://justfacts.votesmart.org/candidate/biography/213008/bill-schuette;https://RepSchuette.com;https://www.house.mi.gov/AllRepresentatives;https://www.house.mi.gov/repdetail/repBillSchuette;https://www.linkedin.com/in/bill-g-schuette-807586171,,,,,,,,,,,
ocd-person/04a88313-6387-44ab-972c-b000b3c316f4,Brad Paquette,Republican,37,lower,Brad,Paquette,Male,bradpaquette@house.mi.gov,,1987-05-24,,https://dtj5wlj7ond0z.cloudfront.net/uploads/2020/07/HS_PAQUETTE_0119.jpg,https://gophouse.org/member/repbradpaquette/about;https://gophouse.org/representatives/southwest/paquette/,https://ballotpedia.org/Brad_Paquette;https://en.wikipedia.org/wiki/Brad_Paquette;https://gophouse.org/member/repbradpaquette/about;https://gophouse.org/representatives/southwest/paquette;https://gophouse.org/representatives/southwest/paquette/;https://justfacts.votesmart.org/candidate/biography/182888/brad-paquette;https://RepPaquette.com;https://www.house.mi.gov/AllRepresentatives;https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.linkedin.com/in/brad-paquette-42755a31,,,,,,,,,,,
