id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/8a65569e-4ed6-4952-86b8-d499bcbf1cae,Alek Skarlatos,Republican,4,lower,Alek,Skarlatos,Male,rep.alekskarlatos@oregonlegislature.gov,,1992-10-10,,https://storage.googleapis.com/enview-dev-public-general/legislative-people-photos/121328.jpg,https://www.oregonlegislature.gov/skarlatos,https://ballotpedia.org/Alek_Skarlatos;https://en.wikipedia.org/wiki/Alek_Skarlatos;https://justfacts.votesmart.org/candidate/biography/189868/alek-skarlatos;https://www.oregonlegislature.gov/skarlatos,,,,,,,alekskarlatos,,,AlekForOregon,
ocd-person/3efec526-6660-45fa-9a10-b02716b2a779,Andrea Valderrama,Democratic,47,lower,Andrea,Valderrama,Female,rep.andreavalderrama@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/valderrama/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/valderrama;https://www.oregonlegislature.gov/valderrama/Pages/map.aspx,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators;https://ballotpedia.org/Andrea_Valderrama;https://en.wikipedia.org/wiki/Andrea_Valderrama;https://www.linkedin.com/in/andrea-valderrama-21801023;https://www.oregonlegislature.gov/valderrama;https://www.oregonlegislature.gov/valderrama/Pages/map.aspx,,,,,,,,,repvalderrama,RepValderrama,
ocd-person/a22ec130-3ba7-4304-9e6f-3a950b8454cb,Anna Scharf,Republican,23,lower,Anna,Scharf,Female,rep.annascharf@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/scharf/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/scharf,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators;https://ballotpedia.org/Anna_Scharf;https://en.wikipedia.org/wiki/Anna_Scharf;https://www.linkedin.com/in/anna-scharf-7b631911;https://www.oregonlegislature.gov/scharf,,,,,,,,,,voteannascharf,
ocd-person/7a36fd6a-105a-44b3-b7e3-b3447979db49,Annessa Hartman,Democratic,40,lower,Annessa,Hartman,Female,rep.annessahartman@oregonlegislature.gov,,,,https://www.clackamas.us/sites/default/files/2021-12/annessa_hartman.jpg,https://www.oregonlegislature.gov/hartman,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators;https://ballotpedia.org/Annessa_Hartman;https://en.wikipedia.org/wiki/Annessa_Hartman;https://www.linkedin.com/in/annessahartman;https://www.oregonlegislature.gov/hartman;https://www.oregonlegislature.gov/hartman/Pages/biography.aspx,,,,,,,annessaforhd40,,annessafororegon,representative.annessa,
ocd-person/305e1426-2193-4e49-accf-6b26d224e92b,Anthony Broadman,Democratic,27,upper,Anthony,Broadman,Male,sen.anthonybroadman@oregonlegislature.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Anthony_Broadman.jpg,https://www.oregonlegislature.gov/broadman,https://ballotpedia.org/Anthony_Broadman;https://www.linkedin.com/in/abroadman;https://www.oregonlegislature.gov/broadman;https://www.oregonlegislature.gov/broadman/Pages/biography.aspx,,,,,,,TheBroadman,,broadmanfororegon,BroadmanforOregon,
ocd-person/571be1bf-e0ba-45a3-97be-d5df3bc98738,April Dobson,Democratic,39,lower,April,Dobson,Female,rep.aprildobson@oregonlegislature.gov,,,,"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_2/v1753906547/nclackk12orus/tvxc3ditrbsdipxxntfk/CopyofAprilDobsonPhoto2.jpg",https://www.oregonlegislature.gov/dobson,https://ballotpedia.org/April_Dobson;https://en.wikipedia.org/wiki/April_Dobson;https://justfacts.votesmart.org/candidate/biography/215510/april-dobson;https://www.linkedin.com/in/april-dobson-48641a341;https://www.oregonlegislature.gov/dobson;https://www.oregonlegislature.gov/dobson/Pages/biography.aspx,,,,,,,,,,VoteAprilDobson,
ocd-person/a19e8e1f-4859-4d05-8dc7-6f0a352c0757,Ben Bowman,Democratic,25,lower,Ben,Bowman,Male,rep.benbowman@oregonlegislature.gov,,1992-01-23,,https://www.oregonlegislature.gov/bowman/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/bowman,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators;https://ballotpedia.org/Ben_Bowman;https://en.wikipedia.org/wiki/Ben_Bowman_(politician);https://www.linkedin.com/in/benjaminwbowman;https://www.oregonlegislature.gov/bowman,,,,,,,BenBowman,,rep.benbowman,RepresentativeBenBowman,
ocd-person/4c9f2660-6dd3-49f5-a503-6fe5bc5c7787,Bobby Levy,Republican,58,lower,Bobby,Levy,Female,rep.bobbylevy@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/levy/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/levy,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators;https://ballotpedia.org/Bobby_Levy;https://en.wikipedia.org/wiki/Bobby_Levy;https://www.linkedin.com/in/bobby-levy-89737947;https://www.oregonlegislature.gov/levy,,,,,,,,,,BobbyLevyforOregon,
ocd-person/a95c31b3-9bfa-4ab1-93d1-278082ead92a,Boomer Wright,Republican,9,lower,Boomer,Wright,Male,rep.boomerwright@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/wright/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/wright,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators;https://ballotpedia.org/Boomer_Wright;https://en.wikipedia.org/wiki/Boomer_Wright;https://www.linkedin.com/in/boomer-wright-7b164266;https://www.oregonlegislature.gov/wright,,,,,,,,,,boomerfororegon,
ocd-person/e420fffb-7b56-42db-8cc4-531526ad6802,Bruce Starr,Republican,12,upper,Bruce,Starr,Male,sen.brucestarr@oregonlegislature.gov,,1969-01-12,,https://www.oregonlegislature.gov/starr/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/starr;https://www.oregonlegislature.gov/starrb,https://ballotpedia.org/Bruce_Starr;https://en.wikipedia.org/wiki/Bruce_Starr;https://www.linkedin.com/in/brucewstarr;https://www.oregonlegislature.gov/senate/Pages/SenatorsAll.aspx;https://www.oregonlegislature.gov/starr,,,,,,,,,,,
