id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/e60aed5e-cbb4-4b27-ab1b-2ce1dd787dac,Aboul Khan,Republican,Rockingham 30,lower,Aboul,Khan,Male,aboul.khan@gc.nh.gov,,1960-03-01,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AboulKhan.jpg,https://gc.nh.gov/house/members/member.aspx?pid=736;https://gencourt.state.nh.us/downloads/Members.txt;https://gencourt.state.nh.us/house/members/member.aspx?pid=736;https://www.gencourt.state.nh.us/downloads/Members.txt;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=736,https://ballotpedia.org/Aboul_Khan;https://en.wikipedia.org/wiki/Aboul_Khan;https://gc.nh.gov/house/members/member.aspx?pid=736;https://gencourt.state.nh.us/downloads/Members.txt;https://gencourt.state.nh.us/downloads/members.txt;https://gencourt.state.nh.us/house/members/member.aspx?pid=736;https://justfacts.votesmart.org/candidate/141938/aboul-khan;https://justfacts.votesmart.org/candidate/biography/141938/aboul-khan;https://www.gencourt.state.nh.us/downloads/Members.txt;https://www.gencourt.state.nh.us/house/members/member.aspx?member=377130;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=736,,,,,,,,,,,
ocd-person/e6d39a32-9602-4a87-905b-a86eeefe9ae1,Adam Presa,Republican,Hillsborough 12,lower,Adam,Presa,Male,adam.presa@gc.nh.gov,,2002-06-23,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Adam_Presa_20240808_092147.jpg,https://gc.nh.gov/house/members/member.aspx?pid=11346;https://gencourt.state.nh.us/house/members/member.aspx?pid=11346,https://ballotpedia.org/Adam_Presa;https://en.wikipedia.org/wiki/Adam_Presa;https://gc.nh.gov/house/members/member.aspx?pid=11346;https://gencourt.state.nh.us/house/members/member.aspx?pid=11346;https://justfacts.votesmart.org/candidate/218977/adam-presa;https://www.linkedin.com/in/adam-presa-424566189,,,,,,,,,,,
ocd-person/540cbe60-cc65-4ff6-8c78-5d54488e5ed8,Aidan Ankarberg,Independent,Strafford 7,lower,Aidan,Ankarberg,Male,aidan.ankarberg@gc.nh.gov,,,,https://www.citizenscount.org/sites/default/files/styles/profile_140x176/public/2020-07/AidanAnkarberg.png?itok=Uh6Qy1u1,https://gc.nh.gov/house/members/member.aspx?pid=9947;https://gencourt.state.nh.us/downloads/Members.txt;https://gencourt.state.nh.us/house/members/member.aspx?pid=9947;https://www.aidannh.com/;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=9947,https://ballotpedia.org/Aidan_K._Ankarberg;https://en.wikipedia.org/wiki/Aidan_Ankarberg;https://gc.nh.gov/house/members/member.aspx?pid=9947;https://gencourt.state.nh.us/downloads/Members.txt;https://gencourt.state.nh.us/downloads/members.txt;https://gencourt.state.nh.us/house/members/member.aspx?pid=9947;https://justfacts.votesmart.org/candidate/143473/aidan-ankarberg;https://www.aidannh.com;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=9947,,,,,,,,,,,
ocd-person/3ab49eaa-77a6-4e6e-85a5-24812e78ae7a,Alexis Simpson,Democratic,Rockingham 33,lower,Alexis,Simpson,Female,alexis.simpson@gc.nh.gov,,,,https://storage.googleapis.com/enview-dev-public-general/legislative-people-photos/50343.jpg,https://gc.nh.gov/house/members/member.aspx?pid=904;https://gencourt.state.nh.us/downloads/Members.txt;https://gencourt.state.nh.us/house/members/member.aspx?pid=904;https://www.gencourt.state.nh.us/house/members/member.aspx?member=377314;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=904,https://ballotpedia.org/Alexis_Simpson;https://en.wikipedia.org/wiki/Alexis_Simpson;https://gc.nh.gov/house/members/member.aspx?pid=904;https://gencourt.state.nh.us/downloads/Members.txt;https://gencourt.state.nh.us/downloads/members.txt;https://gencourt.state.nh.us/house/members/member.aspx?pid=904;https://justfacts.votesmart.org/candidate/biography/154348/alexis-simpson;https://www.gencourt.state.nh.us/house/members/member.aspx?member=377314;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=904;https://www.linkedin.com/in/alexis-simpson-705630133,,,,,,,,,,,
ocd-person/ef4b9cee-5a72-452c-8720-a59d5d5ca9ef,Alice Wade,Democratic,Strafford 15,lower,Alice,Wade,Female,alice.wade@gc.nh.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Alice_Wade_20240830_102929.jpg,https://gc.nh.gov/house/members/member.aspx?pid=11286;https://gencourt.state.nh.us/house/members/member.aspx?pid=11286,https://ballotpedia.org/Alice_Wade;https://en.wikipedia.org/wiki/Alice_Wade;https://gc.nh.gov/house/members/member.aspx?pid=11286;https://gencourt.state.nh.us/house/members/member.aspx?pid=11286;https://justfacts.votesmart.org/candidate/biography/219229/alice-wade;https://www.linkedin.com/in/alice-wade-nh,,,,,,,,,,,
ocd-person/36eee284-6fc9-4b03-9b5c-012b5fdd6995,Alicia Gregg,Democratic,Hillsborough 7,lower,Alicia,Gregg,Female,alicia.gregg@gc.nh.gov,,,,https://www.citizenscount.org/sites/default/files/styles/profile_140x176/public/2022-07/Alicia-Gregg.jpg,https://gc.nh.gov/house/members/member.aspx?pid=10781;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10781,https://ballotpedia.org/Alicia_Gregg;https://en.wikipedia.org/wiki/Alicia_Gregg;https://gc.nh.gov/house/members/member.aspx?pid=10781;https://justfacts.votesmart.org/candidate/208808/alicia-gregg;https://survivingtheundertow.com;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10781;https://www.linkedin.com/in/alicia-gregg-19661024a;https://www.linkedin.com/in/alicia-gregg-4aa0aa26b,,,,,,,,,,,
ocd-person/f809a410-5a03-4ebc-a0ab-32507705c479,Alissandra Murray,Democratic,Hillsborough 20,lower,Alissandra,Murray,X,alissandra.murray@gc.nh.gov,,,,https://www.citizenscount.org/sites/default/files/styles/profile_140x176/public/2022-08/alissandra-murray.jpg?itok=4aFp3Ai9,https://gc.nh.gov/house/members/member.aspx?pid=10799;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10799,https://ballotpedia.org/Alissandra_Murray;https://en.wikipedia.org/wiki/Alissandra_Murray;https://gc.nh.gov/house/members/member.aspx?pid=10799;https://justfacts.votesmart.org/candidate/208825/alissandra-murray;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10799;https://www.linkedin.com/in/alissandra-rodr%C3%ADguez-murray-aa46b1231,,,,,,,,,,,
ocd-person/69b94b6a-d5d5-430b-a4b9-c62c8414cb75,Allan Howland,Democratic,Strafford 20,lower,Allan,Howland,Male,allan.howland@gc.nh.gov,,,,https://www.ci.durham.nh.us/sites/default/files/styles/full_node_primary/public/imageattachments/administration/page/19301/allan_howland_2_-_town_council.jpg,https://gc.nh.gov/house/members/member.aspx?pid=10903;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10903,https://ballotpedia.org/Allan_Howland;https://en.wikipedia.org/wiki/Allan_Howland;https://gc.nh.gov/house/members/member.aspx?pid=10903;https://justfacts.votesmart.org/candidate/biography/208958/allan-howland;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10903,,,,,,,,,,,
ocd-person/0bc83772-75ee-453c-868c-8d2a034788b1,Allison Knab,Democratic,Rockingham 12,lower,Allison,Knab,Female,allison.knab@gc.nh.gov,,,,https://storage.googleapis.com/enview-dev-public-general/legislative-people-photos/123185.jpg,https://gc.nh.gov/house/members/member.aspx?pid=10856;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10856,https://ballotpedia.org/Allison_Knab;https://en.wikipedia.org/wiki/Allison_Knab;https://gc.nh.gov/house/members/member.aspx?pid=10856;https://justfacts.votesmart.org/candidate/208915/allison-knab;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10856;https://www.linkedin.com/in/allison-knab-24834350,,,,,,,,,,,
ocd-person/e3a1815a-a84c-4bd1-9e20-b73b07d2576f,Alvin See,Republican,Merrimack 26,lower,Alvin,See,Male,alvin.see@gc.nh.gov,,,,https://andoverbeacon.com/wp-content/uploads/2022/10/010-Town-News-News-Candidate-State-Rep-Merr-26-Rep-See-Photo-1-e1666301578915-577x1024.jpg,https://gc.nh.gov/house/members/member.aspx?pid=10682;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10682,https://ballotpedia.org/Alvin_See;https://en.wikipedia.org/wiki/Alvin_See;https://gc.nh.gov/house/members/member.aspx?pid=10682;https://justfacts.votesmart.org/candidate/biography/209188/alvin-see;https://www.gencourt.state.nh.us/house/members/member.aspx?pid=10682,,,,,,,,,,,
